| Team Name                      | School                                                |   # Solved |   Penalty |
| The Three Stooges              | Illinois Wesleyan University                          |          2 |       365 |
| Tommy's Team                   | University of California, Santa Barbara               |          2 |       366 |
| Finger Counters                | University of Lethbridge                              |          2 |       369 |
| team 6                         | Duke University                                       |          2 |       380 |
| Team Blue                      | Dakota State University                               |          2 |       387 |
| Team White                     | Vanderbilt University                                 |          2 |       403 |
| FF15                           | University of Utah                                    |          2 |       424 |
| THPT NTMK                      | Harvard University                                    |          2 |       437 |
| Jinfeng_Chen                   | Washington University in St. Louis                    |          2 |       445 |
| UIUC-1                         | University of Illinois at Urbana–Champaign            |          2 |       449 |
| Purple                         | Louisiana State University                            |          2 |       456 |
| Team-BSTR                      | Florida International University                      |          2 |       490 |
| Danni_Liu                      | Washington University in St. Louis                    |          2 |       556 |
| 1/0                            | McGill University                                     |          2 |       604 |
| Rochester #9                   | University of Rochester                               |          2 |       625 |
| nw                             | Ohio State University                                 |          1 |        11 |
| AshleyLu Couch                 | Baylor University                                     |          1 |        13 |
| Alberta Black                  | University of Alberta                                 |          1 |        27 |
| unanimousff15                  | Ohio State University                                 |          1 |        38 |
| Sarah Cullop                   | University of Louisville                              |          1 |        52 |
| CWRU7                          | Case Western Reserve University                       |          1 |        71 |
| Cookie Byte                    | McGill University                                     |          1 |        77 |
| team9                          | Indiana State University                              |          1 |        80 |
| HadiCya                        | University of Michigan                                |          1 |        87 |
| Women in Stem                  | Liberty University                                    |          1 |       141 |
| UTM-Team5                      | University of Tennessee at Martin                     |          1 |       141 |
| Algorithm Enjoyers             | University of Chicago                                 |          1 |       154 |
| team1                          | Indiana State University                              |          1 |       157 |
| International                  | University of Winnipeg                                |          1 |       173 |
| Joseph                         | Emory University                                      |          1 |       184 |
| team 11                        | Duke University                                       |          1 |       216 |
| team8                          | Indiana State University                              |          1 |       245 |
| CUCBatImmortals                | Concordia University Chicago                          |          1 |       253 |
| public static int joo()        | McGill University                                     |          1 |       260 |
| UIUC 23                        | University of Illinois at Urbana–Champaign            |          1 |       279 |
| William Arnold                 | University of Louisville                              |          1 |       327 |
| UNCG Team 3                    | University of North Carolina at Greensboro            |          1 |       426 |
| APA                            | Academy of Public Administration (Azerbaijan)         |          0 |         0 |
| Argons                         | Amirkabir University of Technology                    |          0 |         0 |
| Daniel Luper                   | Baylor University                                     |          0 |         0 |
| Kaylynn Beard                  | Baylor University                                     |          0 |         0 |
| Nolan Mangal                   | Baylor University                                     |          0 |         0 |
| wildcat1                       | California State University, Chico                    |          0 |         0 |
| wildcat2                       | California State University, Chico                    |          0 |         0 |
| wildcat3                       | California State University, Chico                    |          0 |         0 |
| CNU 1                          | Christopher Newport University                        |          0 |         0 |
| Cobbers                        | Concordia College (Minnesota)                         |          0 |         0 |
| CUCBatDestroyers               | Concordia University Chicago                          |          0 |         0 |
| CUCBatKings                    | Concordia University Chicago                          |          0 |         0 |
| CUCBatNinjas                   | Concordia University Chicago                          |          0 |         0 |
| CUCBatWarriors                 | Concordia University Chicago                          |          0 |         0 |
| Metaverse kingCoders           | Dakota State University                               |          0 |         0 |
| team 1                         | Duke University                                       |          0 |         0 |
| team 12                        | Duke University                                       |          0 |         0 |
| team 13                        | Duke University                                       |          0 |         0 |
| Katie                          | Emory University                                      |          0 |         0 |
| Team1                          | Florida International University                      |          0 |         0 |
| abhigyank                      | Georgia Institute of Technology                       |          0 |         0 |
| Sharay                         | Georgia Institute of Technology                       |          0 |         0 |
| Practice1                      | Graceland University                                  |          0 |         0 |
| Practice2                      | Graceland University                                  |          0 |         0 |
| NANO                           | Hanoi University of Engineering and Technology        |          0 |         0 |
| PurpleBlob                     | High Point University                                 |          0 |         0 |
| CVIP <3 Jisoo                  | Ho Chi Minh City International University             |          0 |         0 |
| Team name goes brrrrrrrrrrr    | Ho Chi Minh City International University             |          0 |         0 |
| UIT.Courtode                   | Ho Chi Minh City University of Information Technology |          0 |         0 |
| HCMUS-FlamingTomatoes          | Ho Chi Minh City University of Science                |          0 |         0 |
| HCMUT Team1                    | Ho Chi Minh City University of Technology             |          0 |         0 |
| HCMUT Team2                    | Ho Chi Minh City University of Technology             |          0 |         0 |
| HCMUT Team3                    | Ho Chi Minh City University of Technology             |          0 |         0 |
| HCMUT Team4                    | Ho Chi Minh City University of Technology             |          0 |         0 |
| team2                          | Indiana State University                              |          0 |         0 |
| team6                          | Indiana State University                              |          0 |         0 |
| First Timers                   | Louisiana State University                            |          0 |         0 |
| Gold                           | Louisiana State University                            |          0 |         0 |
| MatthewPrutzLSU                | Louisiana State University                            |          0 |         0 |
| Blue Boy                       | McGill University                                     |          0 |         0 |
| Code Fraggers                  | McGill University                                     |          0 |         0 |
| I-SEE-PC                       | McGill University                                     |          0 |         0 |
| love_joy                       | McGill University                                     |          0 |         0 |
| M.Yan                          | McGill University                                     |          0 |         0 |
| NA's last hope                 | McGill University                                     |          0 |         0 |
| O(w1n)                         | McGill University                                     |          0 |         0 |
| VG                             | McGill University                                     |          0 |         0 |
| Twansa                         | Montreal Polytechnic                                  |          0 |         0 |
| Danae Morrison                 | Mount Allison University                              |          0 |         0 |
| Rating MiSeRable               | National University of Engineering (Peru)             |          0 |         0 |
| Team 2                         | New Jersey Institute of Technology                    |          0 |         0 |
| NCSU Team 3                    | North Carolina State University                       |          0 |         0 |
| Pied Piper                     | Northeastern University                               |          0 |         0 |
| Obscene Battlers               | Ohio State University                                 |          0 |         0 |
| Scarlet & Grey                 | Ohio State University                                 |          0 |         0 |
| syndicate alchemist            | Ohio State University                                 |          0 |         0 |
| Parquet                        | Park University                                       |          0 |         0 |
| John Stanwick                  | Purdue University                                     |          0 |         0 |
| RiSyaoran                      | Purdue University                                     |          0 |         0 |
| JBM                            | Rice University                                       |          0 |         0 |
| Huo's Angels                   | Shippensburg University of Pennsylvania               |          0 |         0 |
| DarkKnight                     | Simon Fraser University                               |          0 |         0 |
| mochi                          | Simon Fraser University                               |          0 |         0 |
| Green                          | South Dakota School of Mines and Technology           |          0 |         0 |
| Magenta                        | South Dakota School of Mines and Technology           |          0 |         0 |
| Frozen Code                    | St. Francis Xavier University                         |          0 |         0 |
| Noah Murrant                   | St. Francis Xavier University                         |          0 |         0 |
| SBU Team 4                     | Stony Brook University                                |          0 |         0 |
| Surya Patil                    | Stony Brook University                                |          0 |         0 |
| Alberta Lavendar               | University of Alberta                                 |          0 |         0 |
| Alberta White                  | University of Alberta                                 |          0 |         0 |
| UBC #                          | University of British Columbia                        |          0 |         0 |
| UBC Legends                    | University of British Columbia                        |          0 |         0 |
| UBC Retired                    | University of British Columbia                        |          0 |         0 |
| Redmoon                        | University of California, Riverside                   |          0 |         0 |
| UCSD Team 11                   | University of California, San Diego                   |          0 |         0 |
| UCSD Team 14                   | University of California, San Diego                   |          0 |         0 |
| UCSD Team 15                   | University of California, San Diego                   |          0 |         0 |
| UCSD Team 17                   | University of California, San Diego                   |          0 |         0 |
| UCSD Team 21                   | University of California, San Diego                   |          0 |         0 |
| UCSD Team 24                   | University of California, San Diego                   |          0 |         0 |
| UCSD Team 26                   | University of California, San Diego                   |          0 |         0 |
| UCSD Team 27                   | University of California, San Diego                   |          0 |         0 |
| UCSD Team 3                    | University of California, San Diego                   |          0 |         0 |
| UCSD Team 4                    | University of California, San Diego                   |          0 |         0 |
| UCSD Team 6                    | University of California, San Diego                   |          0 |         0 |
| UCSD Team 9                    | University of California, San Diego                   |          0 |         0 |
| UCF Guest                      | University of Central Florida                         |          0 |         0 |
| Dropped Packets                | University of Chicago                                 |          0 |         0 |
| tempname                       | University of Chicago                                 |          0 |         0 |
| No time to choose              | University of Guilan                                  |          0 |         0 |
| UIUC 11                        | University of Illinois at Urbana–Champaign            |          0 |         0 |
| UIUC 12                        | University of Illinois at Urbana–Champaign            |          0 |         0 |
| UIUC 15                        | University of Illinois at Urbana–Champaign            |          0 |         0 |
| UIUC 16                        | University of Illinois at Urbana–Champaign            |          0 |         0 |
| UIUC 17                        | University of Illinois at Urbana–Champaign            |          0 |         0 |
| UIUC 20                        | University of Illinois at Urbana–Champaign            |          0 |         0 |
| UIUC 21                        | University of Illinois at Urbana–Champaign            |          0 |         0 |
| Cole Swinford                  | University of Louisville                              |          0 |         0 |
| Team Trial                     | University of Manitoba                                |          0 |         0 |
| ATZ                            | University of Maryland                                |          0 |         0 |
| Joe Cool                       | University of Maryland                                |          0 |         0 |
| dennismv                       | University of Michigan                                |          0 |         0 |
| Eric Chen                      | University of Michigan                                |          0 |         0 |
| Lochan                         | University of Michigan                                |          0 |         0 |
| UPEI Panthers AB               | University of Prince Edward Island                    |          0 |         0 |
| Rochester #10                  | University of Rochester                               |          0 |         0 |
| Rochester #11                  | University of Rochester                               |          0 |         0 |
| Rochester #12                  | University of Rochester                               |          0 |         0 |
| Rochester #13                  | University of Rochester                               |          0 |         0 |
| Rochester #14                  | University of Rochester                               |          0 |         0 |
| Rochester #2                   | University of Rochester                               |          0 |         0 |
| Rochester #4                   | University of Rochester                               |          0 |         0 |
| Rochester #5                   | University of Rochester                               |          0 |         0 |
| Rochester #8                   | University of Rochester                               |          0 |         0 |
| SaSha                          | University of Tehran                                  |          0 |         0 |
| Tadaima!                       | University of Tehran                                  |          0 |         0 |
| Zarrrrrt!                      | University of Tehran                                  |          0 |         0 |
| UTM-JW                         | University of Tennessee at Martin                     |          0 |         0 |
| UTM-Team3                      | University of Tennessee at Martin                     |          0 |         0 |
| UT Citrine                     | University of Texas at Austin                         |          0 |         0 |
| UT Fuchsia                     | University of Texas at Austin                         |          0 |         0 |
| Ashleigh Liu                   | University of Toronto                                 |          0 |         0 |
| Emily Ho                       | University of Toronto                                 |          0 |         0 |
| Mohammad Rahman                | University of Toronto                                 |          0 |         0 |
| Sherman Liu                    | University of Toronto                                 |          0 |         0 |
| Utah X                         | University of Utah                                    |          0 |         0 |
| Ex UWaterloo Amaranth          | University of Waterloo                                |          0 |         0 |
| Runtime Terror                 | University of Waterloo                                |          0 |         0 |
| Waterloo WhiteJ                | University of Waterloo                                |          0 |         0 |
| Xyrus                          | University of Waterloo                                |          0 |         0 |
| Nikhil                         | University of Windsor                                 |          0 |         0 |
| UW Fox Cities                  | University of Wisconsin–Oshkosh                       |          0 |         0 |
| VM                             | University of Wisconsin–Oshkosh                       |          0 |         0 |
| VU Team 3                      | Vanderbilt University                                 |          0 |         0 |
| VU Team 8                      | Vanderbilt University                                 |          0 |         0 |
| chungus                        | Virginia Tech                                         |          0 |         0 |
| Maroon Team                    | Virginia Tech                                         |          0 |         0 |
| Foreign Legion                 | Wagner College                                        |          0 |         0 |
| Annabel_Shen                   | Washington University in St. Louis                    |          0 |         0 |
| Bradley_Hsu                    | Washington University in St. Louis                    |          0 |         0 |
| DuBose_Tuller                  | Washington University in St. Louis                    |          0 |         0 |
| Kaitlyn_Wang                   | Washington University in St. Louis                    |          0 |         0 |
| Luxiao_Zheng                   | Washington University in St. Louis                    |          0 |         0 |
| Manny_Gerbi                    | Washington University in St. Louis                    |          0 |         0 |
| Spencer_Armon                  | Washington University in St. Louis                    |          0 |         0 |
| Yifan_Wang                     | Washington University in St. Louis                    |          0 |         0 |
| Alykhan                        | Western University                                    |          0 |         0 |
| BAIN                           | Western University                                    |          0 |         0 |
| Ben11                          | Western University                                    |          0 |         0 |
| Floppa ploppa                  | Western University                                    |          0 |         0 |
| IcemanHoody                    | Western University                                    |          0 |         0 |
| Jiangqi Cui                    | Western University                                    |          0 |         0 |
| Johann                         | Western University                                    |          0 |         0 |
| Let's See                      | Western University                                    |          0 |         0 |
| RimZak - Self2                 | Western University                                    |          0 |         0 |
| TheGuys                        | Western University                                    |          0 |         0 |
| UWO12345                       | Western University                                    |          0 |         0 |
| York-Team4                     | York University                                       |          0 |         0 |
